Source: USDA Branded Food Products Database Release June 2017 Software v.3.8.6.1 2017-07-28
Report Run at: August 28, 2017 02:11 EDT
"#"
"Nutrient data for: 45135650, Rice, white"
Food Group:  Branded Food Products Database
Common Name:
"Nutrient,Unit,Data points,Std. Error,""0.5 BOWL = 105.0g"",1Value per 100 g,"
Proximates
Energy,kcal,--,--,150,143
Protein,g,--,--,3.00,2.86
Total lipid (fat),g,--,--,0.00,0.00
Carbohydrate, by difference,g,--,--,33.00,31.43
Fiber, total dietary,g,--,--,0.0,0.0
Sugars, total,g,--,--,0.00,0.00
Minerals
Calcium, Ca,mg,--,--,0,0
Iron, Fe,mg,--,--,0.36,0.34
Sodium, Na,mg,--,--,0,0
Vitamins
Vitamin C, total ascorbic acid,mg,--,--,0.0,0.0
Vitamin A, IU,IU,--,--,0,0
Lipids
Fatty acids, total saturated,g,--,--,0.000,0.000
Fatty acids, total trans,g,--,--,0.000,0.000
Cholesterol,mg,--,--,0,0
Amino Acids
Other
Ingredients
