Source: USDA Branded Food Products Database Release June 2017 Software v.3.8.6.1 2017-07-28
Report Run at: August 28, 2017 02:18 EDT
Nutrient data for: 45172827, COCONUT OIL, UPC: 026700159312
"Nutrient data for: 05028, Coconut oil"
Common Name:
"Nutrient,Unit,Data points,Std. Error,""1 Tbsp = 14.0g"",1Value per 100 g,"
Proximates
Energy,kcal,--,--,120,857
Protein,g,--,--,0.00,0.00
Total lipid (fat),g,--,--,14.00,100.00
Carbohydrate, by difference,g,--,--,0.00,0.00
Minerals
Sodium, Na,mg,--,--,0,0
Vitamins
Lipids
Fatty acids, total saturated,g,--,--,11.999,85.710
Fatty acids, total monounsaturated,g,--,--,1.000,7.140
Fatty acids, total polyunsaturated,g,--,--,0.000,0.000
Fatty acids, total trans,g,--,--,0.000,0.000
Cholesterol,mg,--,--,0,0
Amino Acids
Other
Ingredients
